"Version compiled and posted on 04 April, 2018",,,,,,,,
"For real-time updates of the Arctic GRO dataset, please visit: www.arcticgreatrivers.org/data",,,,,,,,
,,,,,,,,
Date,Yenisey,Lena,Ob',Mackenzie,Yukon,Kolyma,Kolyma ,Notes
mm-dd-yyyy,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,Station ID,
1/1/1999,"9,700","3,360","5,720","3,930",,322,1803,
1/2/1999,"9,750","3,390","5,680","3,910",,328,1803,
1/3/1999,"9,800","3,420","5,630","3,880",,328,1803,
1/4/1999,"9,850","3,450","5,590","3,840",,324,1803,
1/5/1999,"9,800","3,480","5,550","3,800",,324,1803,
1/6/1999,"9,800","3,510","5,510","3,760",,324,1803,
1/7/1999,"9,800","3,540","5,470","3,730",,330,1803,
1/8/1999,"9,750","3,570","5,430","3,700",,315,1803,
1/9/1999,"9,750","3,600","5,390","3,670",,314,1803,
1/10/1999,"9,700","3,630","5,340","3,650",,312,1803,
1/11/1999,"9,650","3,660","5,300","3,630",,308,1803,
1/12/1999,"9,600","3,690","5,260","3,620",,314,1803,
1/13/1999,"9,550","3,720","5,220","3,610",,319,1803,
1/14/1999,"9,500","3,750","5,180","3,600",,323,1803,
1/15/1999,"9,450","3,730","5,140","3,600",,321,1803,
1/16/1999,"9,350","3,710","5,100","3,590",,319,1803,
1/17/1999,"9,350","3,690","5,060","3,590",,315,1803,
1/18/1999,"9,250","3,670","5,010","3,580",,311,1803,
1/19/1999,"9,200","3,650","4,970","3,580",,313,1803,
1/20/1999,"9,200","3,630","4,930","3,580",,311,1803,
1/21/1999,"9,100","3,610","4,890","3,580",,304,1803,
1/22/1999,"9,050","3,600","4,850","3,590",,302,1803,
1/23/1999,"8,950","3,580","4,810","3,590",,299,1803,
1/24/1999,"8,900","3,560","4,770","3,600",,297,1803,
1/25/1999,"8,850","3,540","4,730","3,600",,297,1803,
1/26/1999,"8,850","3,520","4,680","3,610",,297,1803,
1/27/1999,"8,800","3,500","4,640","3,620",,292,1803,
1/28/1999,"8,800","3,480","4,600","3,620",,275,1803,
1/29/1999,"8,750","3,460","4,560","3,610",,282,1803,
1/30/1999,"8,750","3,460","4,520","3,600",,299,1803,
1/31/1999,"8,700","3,450","4,480","3,600",,309,1803,
2/1/1999,"8,650","3,450","4,440","3,600",,303,1803,
2/2/1999,"8,650","3,450","4,400","3,590",,294,1803,
2/3/1999,"8,600","3,450","4,350","3,590",,287,1803,
2/4/1999,"8,500","3,440","4,310","3,580",,286,1803,
2/5/1999,"8,500","3,440","4,270","3,570",,282,1803,
2/6/1999,"8,550","3,440","4,230","3,560",,279,1803,
2/7/1999,"8,600","3,430","4,190","3,550",,274,1803,
